MAV,RMS,WL,ZCR,bp_d,bp_t,bp_a,bp_b,bp_30_80,bp_hi,specEnt,kurt,Signal,Start,End,Cluster
1.078902734375,1.42707263625249,250.8073,0.28515625,0.00424714885111811,0.00198077891418469,1.23628455742155,0.924759375993031,0.0862024907742453,0.033400909724615,0.405632974116598,3.45278148184798,x2,9217,9728,1
1.0728310546875,1.36887857330628,252.4738,0.19921875,0.000554482824770053,0.000575340905016991,0.778401401767137,0.732013883168996,0.0501949202750726,0.0502111293550725,0.392265957052725,2.91395424223266,x2,9473,9984,1
118.299464556543,135.620702519995,1173.64968338156,0.0078125,3255.67611460293,291.376247954911,9.37835761972497,2.48704610789499,0.672481485068501,0.645014193717765,0.255906289728701,2.21955357166261,dalt,1,512,2
114.579518822956,132.868979588668,1742.85018575572,0.0078125,3535.88018654334,358.498261083734,11.0351659988334,3.09764372132083,0.650159041488155,0.618409918726917,0.284520418082683,2.10002993726025,dalt,257,768,2
104.25274033746,119.715990541681,1662.97699200865,0.0078125,3485.09124724258,612.39645967147,16.7608179085603,4.1726744309793,0.651675761712456,0.617628473398839,0.311395995234712,2.08858209893175,dalt,513,1024,2
111.108567956612,122.356318386537,1282.1182521322,0.00390625,3053.68312429276,179.169266640606,7.11757888896849,2.37854292393686,0.723410077257997,0.696604379947854,0.261949297855478,4.18067499041038,dalt,769,1280,2
90.9847737913273,106.910381043215,1436.63061450674,0.0234375,4353.46391334679,325.416449124787,9.86123379104145,2.82962515655785,0.699490364713485,0.669954212748259,0.359471358043295,1.95119483558145,dalt,1025,1536,2
90.4529746036671,112.642034764045,1842.44906089454,0.02734375,6725.97354067896,741.54119015661,20.3678535730553,4.51839399202461,0.784447693566193,0.744354104194811,0.364305484878601,2.52285287909895,dalt,1281,1792,2
113.228956153668,134.727330801411,1615.38272562046,0.015625,4131.52497221695,559.744014028597,15.8903551476214,3.5103549414323,0.614045410568146,0.583818149256851,0.311127198980961,2.51687972535516,dalt,1537,2048,2
81.8650390901669,109.780008860876,1096.53136134213,0.02734375,4601.99032555011,141.377857651267,6.21014380520429,1.25360084605425,0.220565538562389,0.207536643110106,0.310921078815507,2.15576591858326,dalt,1793,2304,2
38.9492983763862,50.9027321924241,1309.52679756362,0.0390625,1917.45532983165,151.311925880003,6.6555744322542,1.37871236342496,0.150434242603213,0.137099093719953,0.397263551314441,3.42919399298041,dalt,2049,2560,2
53.7721038292328,66.0847453069241,1167.96228210248,0.0234375,2258.66227202721,228.023918995275,8.549651124755,1.90952377780487,0.219134517106462,0.202872966854106,0.383841346519858,2.33188124744914,dalt,2305,2816,2
44.910676108838,56.2955594440834,744.269151507339,0.01953125,687.540705182414,72.6043849563153,1.70232585394238,0.474423020234924,0.108754831833259,0.104036237715775,0.293508900203511,2.56720984143212,dalt,2561,3072,1
28.9554018823177,35.2563003260077,841.643085321175,0.03515625,439.891381877815,201.112183869212,4.55177645284872,1.0288219674657,0.0902265530428763,0.08287768666276,0.418288362529258,2.18286312169139,dalt,2817,3328,1
